_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
22181                           054 "- Klikk 'Nei' for å beholde aktuell diagramtype"
22191                           029 "Histogramklasser"
22192                           032 "Normalfordeling:"
22193                           038 "Normalfordelingsetikett:"
22194                           038 "Formater normalfordeling"
22195                           044 "Formater etikett for normalfordeling"
22196                           048 "Formater etikett for normalfordeling..."
22197                           037 "Formater aktuell tidslinje..."
22198                           033 "Formater aktuell tidslinje..."
22199                           029 "Tilføy verdiområde..."
22200                           031 "Formater negative områder"
22201                           027 "Formater negative områder"
22202                           018 "Positive områder"
22203                           020 "Negative områder"
22204                           015 "Fra:"
22205                           013 "Til:"
22206                           022 "Bildestil:"
22207                           032 "Formater signalområde..."
22208                           028 "Formater signalområde"
22209                           034 "Formater pekeretikett..."
22210                           014 "Linje"
22211                           026 "Formater tabell..."
22212                           022 "Formater tabell"
22213                           020 "Tittelskrifttype"
22214                           023 "Tilføy tabell"
22215                           024 "Tilføy knapp"
22216                           027 "Formater kolonne..."
22217                           023 "Formater kolonne"
22218                           031 "Kolonnebredden er for liten"
22219                           025 "Formater celle..."
22220                           021 "Formater celle"
22221                           035 "Formater pekeretiketter..."
22222                           030 "Formater pekeretikett"
22223                           031 "Formater pekeretiketter"
22224                           023 "Formater knapp"
22225                           027 "Formater knapp..."
22226                           036 "Vis sirkellinjebredder"
22228                           127 "Kan ikke opprette tidsstolpe siden intervallet er for stort. Hvis du velger Avbryt, tilbakestilles den siste datoen."
22229                           016 "Nivåer"
22230                           014 "Flere"
22231                           031 "Normalfordeling"
22232                           019 "Undertittel"
22233                           012 "Aktiv"
22235                           020 "Tittelskrifttype"
22236                           019 "Celleskrift"
22237                           019 "Sektordiagram"
22238                           036 "Formater aksetittelenhet"
22239                           051 "Ugyldig tallformat"
22240                           092 "Bare 10 verdiområder er tillatt. \nHvis det finnes flere, slettes disse."
22241                           025 "Datakilde..."
22242                           035 "Tilføy normalfordeling"
22400                           107 "Antall enheter er for stort pga. aktuelle tidsskalainnstillinger. Dette kan redusere ytelsen."
22401                           054 "Er du sikker på at alle innstillingene er riktige?"
22410                           101 "Antall synlige kategorier må ikke overstige antall eksisterende kategorier"
22411                           056 "Verdien tilpasses tilsvarende"
22420                           132 "Summen av verdier for synlige kategorier og kategorien som det skal tas utgangspunkt i, overstiger antall kategorier."
22421                           056 "Verdien tilpasses tilsvarende"
22430                           132 "Diagramtypen kan ikke endres til aksjediagram fordi et aksjediagram krever 3, 4 eller 5 dataserier for ett punkt"
22431                           046 "Prøv en av følgende løsninger:"
22432                           070 "Velg OK for å tilordne aksjediagrammet til alle dataserier"
22433                           092 "Et aksjediagram opprettes bare når tabellen inneholder nok dataserier"
22434                           050 "Velg Avbryt for å lukke meldingen"
22435                           132 "Velg deretter en annen diagramtype som kan vise en enkelt dataserie, f.eks. et linjediagram"
22460                           065 "2D- og 3D-diagrammer kan ikke kombineres med hverandre"
22461                           132 "Vil du endre dataseriene i 2D-diagrammet slik at begge diagrammene kan kombineres i et 3D-diagram?"
22462                           094 "- Klikk Ja for å endre dataseriene slik at de kan sammenfattes i en 3D-diagram"
22464                           064 "- Klikk Nei for å avbryte diagramsammenfatningen"
22470                           065 "3D- og 2D-diagrammer kan ikke kombineres med hverandre"
22471                           132 "Vil du endre dataseriene i 3D-diagrammet slik at begge diagrammene kan kombineres i et 2D-diagram?"
22472                           091 "- Klikk Ja for å endre dataseriene slik at de kan sammenfattes i en 2D-diagram"
22474                           064 "- Klikk Nei for å avbryte diagramsammenfatningen"
22480                           060 "Diagammet kan ikke kombineres med andre diagramtyper"
22481                           090 "Vil du endre dataseriene i dette diagrammet til valgt diagramtype?"
22490                           132 "Ordne dataene i følgende rekkef. for å opprette dette aksjediagrammet: Åpningskurs, høyeste kurs, laveste kurs, sluttkurs"
22491                           050 "Bruk data og aksjenavn som etiketter"
22500                           132 "Ordne dataene i følgende rekkefølge for å opprette dette aksjediagrammet: Handlet volum, høyeste kurs, laveste kurs, sluttkurs"
22501                           050 "Bruk data og aksjenavn som etiketter"
22510                           132 "Bruk følgende rekkefølge for å opprette dette aksjediagrammet: Handlet volum, åpningskurs, høyeste kurs, laveste kurs, sluttkurs"
22511                           050 "Bruk data og aksjenavn som etiketter"
22550                           015 "Hvit"
22551                           015 "Svart"
22552                           013 "Rød"
22553                           016 "Gul"
22554                           015 "Grønn"
22555                           014 "Cyanblå"
22556                           014 "Blå"
22557                           017 "Magentarød"
22600                           013 "Alle"
22601                           016 "Brukerdefinert"
22602                           016 "Antall"
22603                           021 "Regnskap"
22604                           014 "Dato"
22605                           014 "Klokkeslett"
22606                           017 "Prosentsats"
22607                           018 "Brudd"
