_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
25801                           028 "Kategooriatelg (X)"
25802                           026 "Põhiruudujooned"
25803                           026 "Abiruudujooned"
25804                           025 "Väärtusetelg (Y)"
25805                           026 "Põhiruudujooned"
25806                           026 "Abiruudujooned"
25807                           026 "Sarjatelg (Z)"
25808                           026 "Põhiruudujooned"
25809                           026 "Abiruudujooned"
25810                           028 "Kategooriatelg (X)"
25811                           026 "Põhiruudujooned"
25812                           026 "Abiruudujooned"
25813                           025 "Väärtusetelg (Y)"
25814                           026 "Põhiruudujooned"
25815                           026 "Abiruudujooned"
25816                           022 "Primaartelg"
25817                           024 "Sekundaartelg"
25900                           014 "Rida"
25901                           020 "Automaatne"
25902                           017 "Kohandatud"
25903                           014 "Rida"
25904                           017 "Laad:"
25906                           017 "Värv:"
25908                           016 "Näidis"
25909                           016 "Märgis"
26000                           021 "Andmesildid"
26001                           021 "Andmesildid"
26002                           015 "Pole"
26003                           020 "Kuva väärtus"
26004                           022 "Kuva protsent"
26005                           020 "Kuva silt"
26006                           032 "Kuva silt ja protsent"
