_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
22160                           032 "จัดรูปแบบป้ายเรดาร์(&F) ..."
22161                           028 "จัดรูปแบบป้ายเรดาร์"
22162                           048 "ความสูงต้องอยู่ระหว่าง -45 ถึง 45"
22163                           047 "ความสูงต้องอยู่ระหว่าง 10 ถึง 90"
22164                           018 "มุมมอง 3 มิติ"
22165                           051 "ความกว้างของวันต้องกว้างกว่า 0!"
22166                           027 "จัดรูปแบบตารางข้อมูล"
22167                           031 "จัดรูปแบบตารางข้อมูล(&F)..."
22168                           020 "ตารางข้อมูล"
22169                           028 "ค่า & แกน (Y)"
22170                           025 "ค่า & แกน (X)"
22173                           117 "หมวดเริ่มต้นต้องมากกว่า 1 ดังนั้นจึงต้องทำการปรับค่า"
22174                           113 "จำนวนของหมวดที่เห็นได้ต้องมากกว่า 1 ดังนั้นจึงต้องทำการปรับค่า"
22175                           039 "เพิ่มการกระจายแบบมาตรฐาน(&A)"
22176                           042 "จัดรูปแบบการกระจายแบบมาตรฐาน(&F)..."
22177                           019 "พิมพ์ (&P) ..."
22178                           024 "ตัวอย่างก่อนพิมพ์ (&V)"
22179                           066 "ค่าเริ่มต้นต้องต่างกับค่าสิ้นสุด"
22180                           077 "- คลิก 'ตกลง' เพื่อเปลี่ยนแปลงชุดข้อมูลทั้งหมดเป็นประเภทแผนภูมิที่เลือก"
22181                           054 "- คลิก 'ไม่ตกลง' เพื่อเก็บประเภทแผนภูมิปัจจุบัน"
22191                           029 "คลาสของฮิสโตรแกรม(&H)"
22192                           032 "การกระจายแบบมาตรฐาน:"
22193                           038 "ป้ายชื่อการกระจายแบบมาตรฐาน:"
22194                           038 "จัดรูปแบบการกระจายแบบมาตรฐาน"
22195                           044 "จัดรูปแบบป้ายการกระจายแบบมาตรฐาน"
22196                           048 "จัดรูปแบบป้ายการกระจายแบบมาตรฐาน(&F)..."
22197                           037 "จัดรูปแบบเส้นเวลาจริง(&F)..."
22198                           033 "จัดรูปแบบเส้นเวลาจริง"
22199                           029 "เพิ่มช่วงค่า (&V)..."
22200                           031 "จัดรูปแบบพื้นที่ล่าง(&F)..."
22201                           027 "จัดรูปแบบพื้นที่ล่าง"
22202                           018 "พื้นที่บน"
22203                           020 "พื้นที่ล่าง"
22204                           015 "จาก:"
22205                           013 "ถึง:"
22206                           022 "รูปแบบของภาพ:"
22207                           032 "จัดรูปแบบพื้นที่สัญญาณ(&F)..."
22208                           028 "จัดรูปแบบพื้นที่สัญญาณ"
22209                           034 "จัดรูปแบบของป้ายตัวชี้(&F)..."
22210                           014 "บรรทัด"
22211                           026 "จัดรูปแบบตาราง(&F)..."
22212                           022 "จัดรูปแบบตาราง"
22213                           020 "รูปแบบอักษรของชื่อ"
22214                           023 "เพิ่มตาราง(&T)..."
22215                           024 "เพิ่มปุ่ม(&B)..."
22216                           027 "จัดรูปแบบคอลัมน์(&F)..."
22217                           023 "จัดรูปแบบคอลัมน์"
22218                           031 "คอลัมน์เล็กเกินไป!"
22219                           025 "จัดรูปแบบเซล(&F).."
22220                           021 "จัดรูปแบบเซล"
22221                           035 "จัดรูปแบบป้ายตัวชี้(&F)..."
22222                           030 "จัดรูปแบบป้ายตัวชี้"
22223                           031 "จัดรูปแบบป้ายตัวชี้"
22224                           023 "จัดรูปแบบปุ่ม"
22225                           027 "จัดรูปแบบปุ่ม(&F)..."
22226                           036 "แสดงค่าขอบบับเบิล(&H)"
22228                           127 "สร้างไทม์บาร์ไม่ได้เนื่องจากมีช่วงกว้างเกินไป  หากคุณเลือก ยกเลิก จะทำให้จำนวนวันที่สูงสุดลดลง"
22229                           016 "ขั้นตอน(&T)"
22230                           014 "มีต่อ"
22231                           031 "การกระจายแบบมาตรฐาน"
22232                           019 "ชื่อเรื่องย่อย"
22233                           012 "A"
22235                           020 "รูปแบบอักษรของชื่อ"
22236                           019 "แบบอักษรในเซล"
22237                           019 "Tiled Pie"
22238                           036 "จัดรูปแบบหน่วยของชื่อแกน(&F)..."
22239                           051 "การกำหนดรูปแบบตัวเลขไม่ถูกต้อง !"
22240                           092 "อนุญาตให้ใช้ 10 ช่วงค่าเท่านั้น !\n ช่วงค่าเพิ่มเติมจะถูกลบ"
22241                           025 "แหล่งข้อมูล (&D) ..."
22242                           035 "เพิ่มการกระจายแบบมาตรฐาน"
22400                           107 "การกำหนดค่าสเกลเวลาปัจจุบันทำให้มีหน่วยมากเกินไป ซึ่งจะทำให้การวาดใหม่ช้าลง"
22401                           054 "คุณแน่ใจหรือไม่ว่าการกำหนดค่าทั้งหมดถูกต้อง?"
22410                           101 "จำนวนหมวดที่เห็นได้ต้องไม่เกินจำนวนหมวดที่มีอยู่"
22411                           056 "ดังนั้นค่าจะได้รับการปรับ"
22420                           132 "การเพิ่มค่าของหมวดที่เห็นได้ให้กับหมวดที่เริ่มต้นเกินกว่าจำนวนของหมวด"
22421                           056 "ดังนั้นค่าจะได้รับการปรับ"
22430                           132 "ไม่สามารถเปลี่ยนประเภทแผนภูมิให้เป็นแผนภูมิสต็อคได้ แผนภูมิสต็อคต้องมีชุดข้อมูล 3, 4 หรือ 5ชุดข้อมูลเพื่อวาดจุดหนึ่งจุด"
22431                           046 "ให้ลองหนึ่งในโซลูชันต่อไปนี้:"
22432                           070 "- คลิก 'ตกลง' เพื่อกำหนดแผนภูมิสต็อคสำหรับชุดข้อมูลทั้งหมด"
22433                           092 "แผนภูมิสต็อคจะถูกสร้างขึ้นเมื่อมีชุดข้อมูลเพียงพอในตารางเท่านั้น"
22434                           050 "- คลิก 'ยกเลิก' เพื่อปิดข้อความนี้"
22435                           132 "หลังจากนั้นให้เลือกประเภทแผนภูมิที่สามารถแสดงชุดข้อมูลเดียว ตัวอย่างเช่น ประเภทแผนภูมิเส้นตรง"
