_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
22420                           132 "Додавання значення видимої категорії до початкової категорії перевищить кількість категорій."
22421                           056 " Значення буде відповідно адаптоване."
22430                           132 "Тип діаграми неможливо змінити на фондову діаграму. Фондова діаграма потребує 3, 4 або 5 рядів даних для одного пункту."
22431                           046 " Спробуйте одне з цих рішень:"
22432                           070 "- Клацніть 'ОК', щоб просвоїти фондову діаграму усім рядам даних."
22433                           092 " Фондова діаграма буде створена, тільки якщо в таблиці достатньо рядів даних."
22434                           050 "- Клацніть 'Скасувати', щоб закрити повідомлення."
22435                           132 " Після цього, оберіть тип діаграми, яка може відображати окремі ряди даних, наприклад, лінійна діаграма."
22460                           065 "Неможна комбінувати двовимірні та тривимірні діаграми."
22461                           132 " Змінити ряди даних двовимірної діаграми, так щоб можна було скомбінувати обидві діаграми у тривимірну?"
22462                           094 "- Клацніть 'Так', щоб змінити ряди даних, щоб їх можна було скомбінувати у тривимірн.діаграму."
22464                           064 "- Клацніть 'Ні', щоб скасувати комбінування діаграм."
22470                           065 "Неможна комбінувати двовимірні та тривимірні діаграми."
22471                           132 " Змінити ряди даних тривимірної діаграми, так щоб можна було скомбінувати обидві діаграми у двовимірну?"
22472                           091 "- Клацніть 'Так', щоб змінити ряди даних, щоб їх можна було скомбінувати у двовим.діаграму."
22474                           064 "- Клацніть 'Ні', щоб скасувати комбінування діаграм."
22480                           060 " Діаграму не можна комбінувати з іншими типами діаграм."
22481                           090 " Змінити всі ряди даних цієї діаграми на вибраний тип діаграми?"
22490                           132 "Щоб створити цю фондову діаграму, упорядкуйте дані на аркуші таким чином: початкова ціна, макс.ціна, мін.ціна та кінцева ціна."
22491                           050 " Використовуйте дати або назви фондів як підписи."
22500                           132 "Щоб створити цю фондову діаграму, упорядкуйте дані на аркуші таким чином: обсяг торгівлі, макс.ціна, мін.ціна та кінцева ціна."
22501                           050 " Використовуйте дати або назви фондів як підписи."
22510                           132 "Щоб створити цю фондову діаграму, упорядкуйте дані на аркуші таким чином: обсяг торгівлі, початкова, макс., мін. та кінцева ціна."
22511                           050 " Використовуйте дати або назви фондів як підписи."
22550                           015 "Білий"
22551                           015 "Чорний"
22552                           013 "Червоний"
22553                           016 "Жовтий"
22554                           015 "Зелений"
22555                           014 "Блакитний"
22556                           014 "Синій"
22557                           017 "Пурпуровий"
22600                           013 "Все"
22601                           016 "Користувацький"
22602                           016 "Номер"
22603                           021 "Бухгалтерія"
22604                           014 "Дата"
22605                           014 "Час"
22606                           017 "Відсоток"
22607                           018 "Дріб"
22608                           017 "Наука"
22609                           014 "Текст"
22610                           018 "Валюта"
23000                           013 "Зверху"
23001                           016 "Центр"
23002                           016 "Знизу"
23003                           016 "Розділити"
23010                           014 "Ліворуч"
23011                           016 "Центр"
23012                           015 "Праворуч"
23013                           016 "Розділити"
23020                           015 "Вище"
23021                           015 "Нижче"
23022                           020 "Оптимальна ширина"
23023                           016 "Центр"
23024                           021 "Внутрішня основа"
23025                           020 "Внутрішній кінець"
23026                           014 "Ліворуч"
23027                           015 "Змішаний"
23028                           021 "Зовнішній кінець"
23029                           015 "Праворуч"
23030                           031 "&Форматувати підпис осі..."
23031                           032 "&Форматув.заголовок діаграми..."
23032                           027 "Форматувати підпис осі"
23033                           028 "Форматув.заголовок діаграми"
23034                           016 "Лінійний"
23035                           021 "Логарифмічний"
23036                           019 "Потенціал"
23037                           021 "Експоненціал"
23038                           024 "Змінне середнє значення"
23039                           019 "Редагувати текст"
23040                           019 "Автоматично"
23041                           017 "Мінімум"
23042                           017 "Максимум"
23043                           016 "Користувацький"
