_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
23022                           020 "הרוחב הטוב ביותר"
23023                           016 "מרכז"
23024                           021 "בסיס פנימי"
23025                           020 "סוף פנימי"
23026                           014 "שמאל"
23027                           015 "מעורב"
23028                           021 "סוף חיצוני"
23029                           015 "ימין"
23030                           031 "עצב תווית ציר..."
23031                           032 "עצב כותרת תרשים..."
23032                           027 "עצב תווית ציר"
23033                           028 "עצב כותרת תרשים"
23034                           016 "לינארי"
23035                           021 "לוגריתמי"
23036                           019 "פוטנציאל"
23037                           021 "מעריכי"
23038                           024 "ממוצע נע"
23039                           019 "ערוך טקסט"
23040                           019 "אוטומטית"
23041                           017 "מינימום"
23042                           017 "מקסימום"
23043                           016 "מותאם"
23050                           017 "עמודות"
23051                           014 "סרגלים"
23052                           015 "שורות"
23053                           017 "פרופיל"
23054                           014 "תרשימי עוגה"
23055                           022 "XY (פיזור)"
23056                           014 "אזור"
23057                           018 "Doughnut"
23058                           015 "רדאר"
23059                           019 "תיק"
23060                           015 "מלאי"
23061                           017 "פני שטח"
23062                           018 "צילינדר"
23063                           014 "חרוט"
23064                           017 "פירמידה"
23065                           019 "אבן דרך"
23066                           015 "שלבים"
23067                           019 "היסטוגרמה"
23068                           020 "Tachometer"
23069                           018 "רביע"
23070                           024 "סרגלים רבי צבעים"
23090                           014 "נתונים"
23091                           020 "מפתח מקרא"
24000                           018 "מיקום"
24001                           015 "ערך"
24002                           017 "אחוזים"
25100                           018 "תצוגת 3D"
25103                           021 "הערכה:"
25107                           023 "נקודת מבט:"
25111                           020 "סיבוב:"
25113                           023 "דירוג אוטומטי"
25114                           027 "צירים עם ציר ימני"
25115                           018 "גובה:"
25118                           011 "%"
25119                           018 "ברירת מחדל"
25200                           019 "יישור"
25201                           024 "יישור טקסט"
25202                           022 "אופקי:"
25204                           020 "אנכי:"
25206                           020 "מיקום:"
25208                           021 "אוריינטציה"
25300                           014 "צירים"
25301                           022 "ציר מרכזי"
25302                           029 "ציר קטגוריה (X)"
25303                           026 "ציר ערך (Y)"
25304                           027 "ציר סדרה (Z)"
25305                           024 "ציר משני"
25306                           029 "ציר קטגוריה (X)"
25307                           025 "ציר ערך (Y)"
25400                           019 "יישור"
25401                           021 "אוריינטציה"
25500                           014 "שורה"
25501                           014 "קו"
25502                           020 "אוטומטי"
25503                           016 "מותאם"
25504                           017 "סגנון:"
25506                           017 "צבע:"
25508                           030 "סוג סימון אישור עיקרי"
25509                           015 "כלום"
25510                           016 "בפנים"
25511                           017 "בחוץ"
25512                           015 "צלב"
25513                           030 "סוג סימון משני"
25514                           015 "אף אחד"
25515                           016 "בפנים"
25516                           017 "בחוץ"
25517                           015 "צלב"
